MovementID	Date	ProductID	MovementType	Quantity	Location	Reference	Notes
MOV00058	2023-09-08	P032	Damaged	-6	Warehouse A	REF1541	Regular operation
MOV00059	2023-06-14	P044	Return	53	Store 2	REF6365	
MOV00060	2023-03-12	P038	Transfer	100	Online Fulfillment	REF6868	
MOV00061	2024-04-04	P061	Purchase	9	Warehouse A	REF8865	Regular operation
MOV00062	2024-01-05	P055	Transfer	-18	Store 1	REF4214	Quality check
MOV00063	2023-02-12	P009	Return	5	Store 1	REF6023	Customer return
MOV00064	2024-02-02	P025	Adjustment	70	Online Fulfillment	REF9360	
MOV00065	2024-12-03	P030	Adjustment	78	Store 2	REF4854	Supplier issue
MOV00066	2024-10-09	P039	Damaged	29	Store 1	REF9319	Regular operation
MOV00067	2023-02-01	P085	Adjustment	-1	Warehouse B	REF7758	Supplier issue
MOV00068	2023-07-17	P073	Sale	-44	Store 2	REF1377	Customer return
MOV00069	2023-05-24	P075	Return	-13	Online Fulfillment	REF3296	Regular operation
MOV00070	2023-04-02	P079	Sale	18	Store 2	REF5303	Quality check
MOV00071	2024-10-19	P098	Damaged	37	Warehouse A	REF8059	
MOV00072	2024-11-10	P062	Transfer	-7	Warehouse A	REF4392	
MOV00073	2024-05-06	P018	Purchase	-26	Warehouse B	REF1303	Quality check
MOV00074	2024-06-07	P020	Damaged	79	Warehouse B	REF1670	Regular operation
MOV00075	2024-01-13	P001	Damaged	44	Online Fulfillment	REF6724	Customer return
MOV00076	2024-05-16	P055	Purchase	61	Online Fulfillment	REF1997	Supplier issue
MOV00077	2024-06-09	P005	Sale	-41	Store 1	REF1504	Regular operation
MOV00078	2023-12-01	P088	Damaged	19	Store 2	REF9532	Regular operation
MOV00079	2023-03-23	P090	Sale	-20	Store 1	REF4460	Quality check
MOV00080	2024-03-02	P001	Return	76	Store 1	REF4211	Quality check
MOV00081	2023-04-15	P095	Purchase	-20	Store 1	REF5359	
MOV00082	2023-12-07	P080	Damaged	-17	Online Fulfillment	REF2343	Supplier issue
MOV00083	2024-09-01	P095	Purchase	47	Online Fulfillment	REF1773	
MOV00084	2023-03-10	P031	Adjustment	24	Warehouse A	REF9029	Supplier issue
MOV00085	2023-11-21	P090	Transfer	-18	Warehouse A	REF7039	
MOV00086	2023-11-06	P070	Damaged	2	Store 2	REF1410	
MOV00087	2023-01-28	P010	Adjustment	83	Warehouse A	REF2759	Regular operation
MOV00088	2023-12-15	P085	Sale	56	Warehouse A	REF7307	Customer return
MOV00089	2023-08-04	P078	Return	43	Warehouse B	REF5370	
MOV00090	2024-05-19	P027	Sale	-35	Warehouse A	REF7783	Regular operation
MOV00091	2023-04-30	P048	Sale	35	Warehouse B	REF1474	Customer return
MOV00092	2023-08-14	P023	Return	60	Warehouse B	REF6050	
MOV00093	2024-07-13	P095	Transfer	88	Warehouse A	REF5922	
MOV00094	2024-05-22	P006	Return	55	Store 1	REF6414	Customer return
MOV00095	2023-12-31	P013	Damaged	53	Online Fulfillment	REF4445	Quality check
MOV00096	2023-10-17	P005	Return	65	Store 1	REF2634	Regular operation
MOV00097	2024-10-17	P073	Sale	44	Warehouse B	REF2608	Regular operation
MOV00098	2023-08-29	P066	Damaged	98	Warehouse A	REF7495	Supplier issue
MOV00099	2024-05-24	P057	Damaged	-44	Online Fulfillment	REF6902	Quality check
MOV00100	2023-03-16	P065	Return	79	Store 2	REF9694	Regular operation
MOV00101	2023-09-25	P089	Sale	16	Warehouse B	REF1229	Regular operation
MOV00102	2024-06-11	P087	Damaged	85	Online Fulfillment	REF3341	Customer return
MOV00103	2024-07-06	P082	Return	73	Online Fulfillment	REF4275	
MOV00104	2024-07-11	P006	Sale	72	Warehouse A	REF4511	Supplier issue
MOV00105	2024-04-27	P027	Purchase	-11	Warehouse A	REF7032	
MOV00106	2024-07-22	P053	Transfer	28	Online Fulfillment	REF6812	Quality check
MOV00107	2024-12-09	P008	Adjustment	14	Online Fulfillment	REF8516	
MOV00108	2023-03-21	P025	Return	-45	Online Fulfillment	REF6719	Regular operation
MOV00109	2023-10-08	P002	Return	-36	Warehouse A	REF2654	Quality check
MOV00110	2024-12-28	P091	Adjustment	-31	Store 2	REF1548	Regular operation
MOV00111	2023-02-08	P036	Transfer	41	Store 1	REF2788	Quality check
MOV00112	2024-11-29	P025	Damaged	14	Online Fulfillment	REF2696	Regular operation
MOV00113	2024-08-19	P037	Damaged	33	Warehouse B	REF6215	Customer return
MOV00114	2023-09-12	P090	Transfer	48	Warehouse B	REF6295	Customer return
MOV00115	2024-03-17	P011	Return	18	Warehouse A	REF3545	
MOV00116	2024-07-09	P058	Purchase	-34	Warehouse A	REF4125	Quality check
MOV00117	2023-05-05	P043	Sale	100	Store 1	REF2767	Supplier issue
MOV00118	2024-03-17	P015	Purchase	-26	Store 1	REF9439	Quality check
MOV00119	2023-06-11	P033	Damaged	-41	Online Fulfillment	REF7655	Customer return
MOV00120	2023-05-19	P087	Adjustment	-31	Warehouse B	REF3022	Supplier issue
MOV00121	2024-02-27	P092	Transfer	26	Online Fulfillment	REF2442	Regular operation
MOV00122	2023-01-02	P010	Purchase	-8	Warehouse B	REF4592	Regular operation
MOV00123	2023-05-06	P054	Adjustment	98	Store 2	REF6525	Customer return
MOV00124	2024-10-02	P050	Damaged	68	Warehouse B	REF4059	Quality check
MOV00125	2024-07-15	P094	Damaged	-1	Store 2	REF9272	Customer return
MOV00126	2023-04-12	P038	Sale	28	Store 1	REF7440	Quality check
MOV00127	2023-06-29	P065	Purchase	74	Store 1	REF1913	Customer return
MOV00128	2023-07-24	P066	Damaged	96	Warehouse A	REF6615	
MOV00129	2024-01-12	P001	Transfer	19	Warehouse B	REF9596	Regular operation
MOV00130	2024-03-22	P070	Sale	51	Warehouse B	REF6428	Supplier issue
MOV00131	2024-05-18	P023	Purchase	-44	Online Fulfillment	REF9035	Quality check
MOV00132	2024-04-23	P037	Purchase	-38	Store 1	REF2303	Customer return
MOV00133	2024-04-16	P074	Transfer	-29	Store 1	REF6563	Customer return
MOV00134	2023-04-04	P071	Return	41	Store 1	REF3743	
MOV00135	2024-03-10	P033	Sale	31	Warehouse B	REF3256	Regular operation
MOV00136	2024-05-10	P026	Sale	91	Store 1	REF3319	Customer return
MOV00137	2024-06-21	P062	Damaged	-7	Online Fulfillment	REF9761	Regular operation
MOV00138	2024-11-10	P021	Purchase	-11	Online Fulfillment	REF2246	Supplier issue
MOV00139	2023-06-26	P050	Return	-23	Warehouse B	REF5304	Quality check
MOV00140	2023-02-03	P040	Damaged	35	Store 2	REF9449	Regular operation
MOV00141	2023-09-08	P014	Return	42	Store 2	REF3247	Customer return
MOV00142	2023-08-21	P008	Sale	-35	Warehouse B	REF5597	Regular operation
MOV00143	2023-08-13	P003	Purchase	-21	Warehouse A	REF4455	Regular operation
MOV00144	2023-10-16	P055	Return	28	Warehouse B	REF2370	Customer return
MOV00145	2023-09-12	P060	Damaged	72	Online Fulfillment	REF1455	Customer return
MOV00146	2023-12-10	P085	Transfer	-15	Warehouse B	REF8838	Supplier issue
MOV00147	2023-01-25	P085	Sale	59	Warehouse A	REF6009	
MOV00148	2024-04-22	P052	Transfer	71	Online Fulfillment	REF9489	Supplier issue
MOV00149	2024-12-13	P024	Return	53	Online Fulfillment	REF8144	Customer return
MOV00150	2023-03-21	P009	Sale	39	Warehouse A	REF8337	Supplier issue
MOV00151	2023-10-24	P080	Transfer	47	Store 2	REF3750	Supplier issue
MOV00152	2024-12-24	P052	Sale	5	Online Fulfillment	REF7731	
MOV00153	2023-01-27	P006	Adjustment	-22	Warehouse A	REF5631	Supplier issue
MOV00154	2023-11-18	P007	Damaged	41	Warehouse B	REF3099	Regular operation
MOV00155	2023-04-08	P009	Sale	73	Warehouse A	REF5619	Quality check
MOV00156	2023-05-12	P090	Return	95	Warehouse B	REF4857	Quality check
MOV00157	2023-08-04	P098	Transfer	-29	Store 1	REF4805	Quality check
MOV00158	2023-04-25	P053	Purchase	60	Store 2	REF8727	Customer return
MOV00159	2024-11-25	P040	Adjustment	99	Store 2	REF1649	Supplier issue
MOV00160	2023-04-28	P015	Transfer	84	Online Fulfillment	REF6414	Regular operation
MOV00161	2023-04-23	P016	Return	76	Online Fulfillment	REF8432	Quality check
MOV00162	2023-09-03	P075	Purchase	0	Store 2	REF2924	Customer return
MOV00163	2024-10-24	P048	Transfer	52	Warehouse A	REF3978	Supplier issue
MOV00164	2023-11-05	P017	Sale	53	Warehouse B	REF5953	Customer return
MOV00165	2024-06-05	P069	Damaged	23	Store 2	REF4383	Supplier issue
MOV00166	2023-03-12	P036	Adjustment	91	Store 2	REF6675	Regular operation
MOV00167	2024-06-15	P086	Purchase	41	Store 2	REF2072	Regular operation
MOV00168	2024-05-24	P068	Return	28	Store 1	REF1804	Regular operation
MOV00169	2023-06-09	P094	Adjustment	16	Online Fulfillment	REF5185	Quality check
MOV00170	2023-10-10	P040	Sale	63	Online Fulfillment	REF4356	Supplier issue
MOV00171	2024-02-04	P055	Purchase	23	Store 1	REF9826	Supplier issue
MOV00172	2024-04-14	P015	Purchase	87	Online Fulfillment	REF2245	Supplier issue
MOV00173	2023-03-11	P068	Sale	75	Store 2	REF4608	Customer return
MOV00174	2024-04-01	P060	Return	100	Store 2	REF8178	
MOV00175	2023-10-26	P048	Damaged	-18	Store 2	REF4851	Quality check
MOV00176	2024-10-19	P082	Damaged	-24	Online Fulfillment	REF9519	Regular operation
MOV00177	2023-11-22	P054	Adjustment	33	Store 1	REF2980	Quality check
MOV00178	2023-12-10	P036	Damaged	40	Store 1	REF8179	
MOV00179	2024-04-12	P082	Purchase	67	Online Fulfillment	REF1999	Supplier issue
MOV00180	2024-03-28	P083	Purchase	29	Store 1	REF6527	Quality check
MOV00181	2023-01-28	P003	Purchase	74	Warehouse B	REF2701	Customer return
MOV00182	2023-04-17	P020	Adjustment	-6	Store 1	REF3873	Regular operation
MOV00183	2024-10-15	P024	Transfer	91	Store 1	REF7257	Supplier issue
MOV00184	2024-12-08	P017	Return	-37	Store 1	REF6996	Customer return
MOV00185	2024-10-23	P081	Sale	33	Warehouse A	REF9160	Supplier issue
MOV00186	2023-10-23	P082	Transfer	40	Store 2	REF6254	Quality check
MOV00187	2024-10-27	P052	Return	-11	Store 1	REF4539	Supplier issue
MOV00188	2023-11-12	P020	Transfer	-16	Warehouse B	REF1387	Quality check
MOV00189	2023-05-11	P007	Return	-32	Warehouse A	REF7854	Customer return
MOV00190	2024-08-07	P052	Purchase	67	Warehouse B	REF7160	Customer return
MOV00191	2023-06-10	P092	Purchase	-23	Store 1	REF9413	Supplier issue
MOV00192	2024-03-05	P007	Transfer	55	Store 2	REF4799	Supplier issue
MOV00193	2023-06-24	P048	Purchase	-36	Online Fulfillment	REF4909	Quality check
MOV00194	2023-05-01	P095	Transfer	37	Store 2	REF4196	Quality check
MOV00195	2023-03-02	P048	Damaged	-50	Store 2	REF6691	Regular operation
MOV00196	2024-02-11	P073	Adjustment	-21	Store 1	REF9863	
MOV00197	2023-09-17	P035	Damaged	39	Warehouse B	REF4562	Supplier issue
MOV00198	2023-09-14	P075	Return	-32	Warehouse A	REF1446	Regular operation
MOV00199	2024-11-24	P022	Purchase	87	Online Fulfillment	REF7148	Supplier issue
MOV00200	2024-02-18	P096	Purchase	26	Warehouse A	REF7748	Quality check
MOV00201	2023-09-08	P024	Purchase	42	Warehouse A	REF8639	Customer return
MOV00202	2023-05-08	P078	Adjustment	71	Online Fulfillment	REF3929	
MOV00203	2024-02-22	P004	Return	83	Store 2	REF6794	Quality check
MOV00204	2023-03-24	P035	Damaged	4	Store 1	REF3918	Quality check
MOV00205	2023-02-03	P064	Purchase	23	Warehouse B	REF2288	Regular operation
MOV00206	2024-04-11	P059	Sale	-8	Warehouse B	REF8647	Customer return
MOV00207	2024-09-24	P077	Return	79	Online Fulfillment	REF4153	Supplier issue
MOV00208	2024-05-13	P038	Sale	88	Store 2	REF1540	Regular operation
MOV00209	2024-05-12	P100	Adjustment	70	Online Fulfillment	REF8376	Quality check
MOV00210	2024-05-29	P098	Transfer	-36	Warehouse A	REF2701	Regular operation
MOV00211	2023-07-31	P005	Damaged	39	Warehouse B	REF3464	Quality check
MOV00212	2024-06-26	P029	Return	-8	Warehouse B	REF4446	Supplier issue
MOV00213	2024-05-20	P043	Purchase	19	Store 1	REF9589	Regular operation
MOV00214	2024-02-12	P084	Sale	-3	Store 1	REF5565	
MOV00215	2024-11-28	P079	Adjustment	90	Store 1	REF7713	Regular operation
MOV00216	2023-10-13	P015	Damaged	-7	Store 2	REF2717	Supplier issue
MOV00217	2024-01-11	P042	Damaged	29	Warehouse B	REF8652	
MOV00218	2023-09-11	P026	Damaged	100	Online Fulfillment	REF8681	Regular operation
MOV00219	2023-05-16	P016	Return	47	Warehouse A	REF7316	
MOV00220	2023-02-05	P040	Adjustment	47	Warehouse A	REF1826	Quality check
MOV00221	2024-09-17	P055	Damaged	43	Store 1	REF5812	Regular operation
MOV00222	2024-08-24	P096	Purchase	17	Warehouse B	REF9016	Supplier issue
MOV00223	2023-02-03	P022	Transfer	56	Store 2	REF1538	Customer return
MOV00224	2023-01-11	P027	Return	55	Warehouse B	REF4893	Supplier issue
MOV00225	2023-07-11	P097	Return	51	Store 1	REF6332	Supplier issue
MOV00226	2023-01-10	P038	Transfer	41	Warehouse A	REF2393	
MOV00227	2024-08-30	P005	Adjustment	31	Store 2	REF4855	Quality check
MOV00228	2023-07-10	P087	Adjustment	74	Online Fulfillment	REF2167	Regular operation
MOV00229	2023-03-20	P063	Transfer	36	Warehouse A	REF3944	Customer return
MOV00230	2024-09-09	P092	Sale	66	Warehouse B	REF2264	Supplier issue
MOV00231	2024-09-03	P038	Sale	-13	Warehouse B	REF3327	Customer return
MOV00232	2023-09-10	P070	Return	-32	Online Fulfillment	REF8259	Customer return
MOV00233	2024-05-04	P050	Purchase	75	Store 2	REF7133	Supplier issue
MOV00234	2023-06-15	P021	Damaged	16	Store 1	REF9532	
MOV00235	2023-08-30	P056	Adjustment	-47	Store 2	REF4543	Quality check
MOV00236	2024-11-09	P037	Purchase	81	Warehouse B	REF4186	Supplier issue
MOV00237	2024-06-07	P028	Adjustment	-22	Store 1	REF3990	Supplier issue
MOV00238	2024-02-29	P067	Adjustment	47	Online Fulfillment	REF1386	
MOV00239	2023-01-23	P062	Transfer	44	Store 2	REF6503	Quality check
MOV00240	2023-02-22	P004	Purchase	-3	Warehouse B	REF8938	Customer return
MOV00241	2023-01-14	P079	Sale	54	Warehouse A	REF5602	Supplier issue
MOV00242	2023-01-06	P080	Sale	93	Warehouse A	REF4847	Quality check
MOV00243	2024-04-08	P012	Return	-14	Warehouse A	REF4537	Supplier issue
MOV00244	2023-10-23	P058	Sale	77	Online Fulfillment	REF4730	
MOV00245	2023-06-29	P081	Sale	54	Online Fulfillment	REF5560	
MOV00246	2023-12-02	P034	Sale	77	Store 2	REF3063	
MOV00247	2023-09-10	P094	Damaged	13	Store 2	REF9368	Quality check
MOV00248	2023-05-25	P097	Return	-43	Store 2	REF3848	
MOV00249	2023-03-29	P079	Return	78	Warehouse A	REF7823	Regular operation
MOV00250	2024-11-11	P065	Purchase	100	Online Fulfillment	REF1504	
MOV00251	2024-07-01	P072	Damaged	-35	Store 1	REF1318	
MOV00252	2023-08-01	P030	Adjustment	-5	Store 2	REF3401	Customer return
MOV00253	2023-11-06	P043	Sale	-3	Store 2	REF6888	
MOV00254	2023-09-23	P018	Adjustment	75	Warehouse B	REF3193	Supplier issue
MOV00255	2023-07-03	P024	Sale	-24	Store 1	REF6706	Quality check
MOV00256	2023-05-30	P041	Purchase	-26	Store 2	REF4073	Quality check
MOV00257	2024-08-03	P057	Return	42	Warehouse A	REF2398	Supplier issue
MOV00258	2023-12-13	P090	Purchase	58	Warehouse A	REF9956	Supplier issue
MOV00259	2023-06-27	P100	Return	33	Warehouse A	REF4682	Quality check
MOV00260	2024-08-18	P055	Adjustment	-49	Store 1	REF8606	Customer return
MOV00261	2023-06-02	P083	Transfer	53	Store 2	REF5994	Supplier issue
MOV00262	2023-03-09	P088	Purchase	81	Warehouse A	REF4476	Quality check
MOV00263	2024-11-05	P001	Adjustment	-11	Warehouse B	REF2944	
MOV00264	2024-12-27	P012	Transfer	17	Store 2	REF6400	Customer return
MOV00265	2023-02-25	P100	Adjustment	5	Store 2	REF9332	Customer return
MOV00266	2023-03-06	P049	Adjustment	57	Store 1	REF6819	
MOV00267	2024-09-25	P097	Transfer	-31	Online Fulfillment	REF7211	Supplier issue
MOV00268	2024-08-22	P057	Adjustment	-35	Warehouse B	REF3259	Quality check
MOV00269	2024-01-23	P036	Return	96	Online Fulfillment	REF6692	Regular operation
MOV00270	2023-10-24	P031	Adjustment	-49	Store 1	REF4229	Customer return
MOV00271	2023-06-08	P038	Transfer	-24	Store 2	REF3544	Supplier issue
MOV00272	2023-07-22	P016	Adjustment	69	Store 2	REF5449	Customer return
MOV00273	2023-06-01	P024	Sale	-25	Warehouse B	REF5940	Quality check
MOV00274	2024-10-23	P014	Damaged	72	Warehouse B	REF9408	Regular operation
MOV00275	2024-11-15	P094	Damaged	97	Warehouse A	REF4810	Customer return
MOV00276	2024-03-30	P027	Purchase	66	Store 1	REF2653	Regular operation
MOV00277	2024-11-08	P023	Transfer	43	Online Fulfillment	REF4873	
MOV00278	2023-12-01	P002	Transfer	2	Warehouse B	REF3757	Supplier issue
MOV00279	2023-04-14	P004	Return	30	Warehouse B	REF6285	Regular operation
MOV00280	2023-08-11	P041	Damaged	59	Warehouse B	REF5829	Quality check
MOV00281	2023-03-09	P090	Adjustment	-31	Online Fulfillment	REF2056	Supplier issue
MOV00282	2023-08-24	P026	Return	16	Store 2	REF2394	Customer return
MOV00283	2023-09-24	P028	Sale	79	Warehouse B	REF6302	Customer return
MOV00284	2023-04-21	P063	Adjustment	89	Online Fulfillment	REF3305	Quality check
MOV00285	2023-02-03	P051	Transfer	-16	Online Fulfillment	REF5173	Customer return
MOV00286	2024-07-18	P089	Purchase	-6	Online Fulfillment	REF5974	Customer return
MOV00287	2024-04-16	P016	Damaged	92	Store 2	REF2638	
MOV00288	2024-11-10	P083	Transfer	-29	Store 2	REF3883	Customer return
MOV00289	2023-10-28	P077	Transfer	0	Warehouse A	REF5955	Customer return
MOV00290	2023-09-12	P094	Adjustment	36	Warehouse A	REF4281	Quality check
MOV00291	2024-06-13	P056	Purchase	7	Store 2	REF8634	Customer return
MOV00292	2024-01-31	P011	Adjustment	-25	Store 2	REF1177	Customer return
MOV00293	2023-10-07	P031	Sale	65	Warehouse A	REF8931	Quality check
MOV00294	2024-01-27	P061	Purchase	-18	Store 2	REF5254	Supplier issue
MOV00295	2023-01-05	P054	Transfer	45	Warehouse B	REF2279	Quality check
MOV00296	2023-04-21	P059	Transfer	27	Warehouse A	REF7354	
MOV00297	2024-04-06	P018	Transfer	59	Store 2	REF3307	Regular operation
MOV00298	2023-10-07	P012	Transfer	60	Warehouse B	REF4201	Regular operation
MOV00299	2024-09-22	P097	Purchase	46	Store 2	REF8409	Customer return
MOV00300	2024-12-07	P072	Adjustment	16	Store 2	REF5235	Regular operation
MOV00301	2023-04-30	P078	Sale	43	Store 1	REF5042	Regular operation
MOV00302	2024-04-08	P043	Return	-50	Store 1	REF7407	Regular operation
MOV00303	2024-03-20	P015	Return	9	Online Fulfillment	REF5454	Regular operation
MOV00304	2023-08-21	P078	Adjustment	-18	Store 2	REF8811	Customer return
MOV00305	2023-10-16	P045	Adjustment	57	Online Fulfillment	REF1940	
MOV00306	2023-10-29	P012	Return	-17	Store 1	REF2012	
MOV00307	2023-12-28	P051	Sale	54	Warehouse A	REF4572	
MOV00308	2023-12-05	P083	Return	-9	Online Fulfillment	REF9566	Quality check
MOV00309	2023-07-14	P015	Sale	-12	Online Fulfillment	REF8004	Supplier issue
MOV00310	2024-06-08	P028	Return	1	Store 1	REF9778	Customer return
MOV00311	2024-09-24	P075	Purchase	68	Store 2	REF7705	Quality check
MOV00312	2024-06-08	P047	Transfer	50	Online Fulfillment	REF3425	Quality check
MOV00313	2023-12-09	P092	Damaged	19	Warehouse B	REF8991	Supplier issue
MOV00314	2023-07-20	P054	Adjustment	-5	Online Fulfillment	REF9148	Regular operation
MOV00315	2023-03-20	P060	Purchase	61	Store 1	REF4476	Customer return
MOV00316	2024-09-03	P097	Return	38	Warehouse B	REF5412	Customer return
MOV00317	2023-02-18	P055	Damaged	95	Online Fulfillment	REF6519	
MOV00318	2024-11-04	P017	Transfer	17	Online Fulfillment	REF7766	Quality check
MOV00319	2023-03-04	P078	Transfer	68	Warehouse B	REF9528	Customer return
MOV00320	2023-11-30	P089	Damaged	20	Warehouse A	REF8318	
MOV00321	2023-07-29	P090	Transfer	26	Warehouse B	REF2395	Customer return
MOV00322	2024-08-02	P091	Purchase	17	Warehouse B	REF2166	Customer return
MOV00323	2023-09-16	P040	Damaged	-42	Online Fulfillment	REF7576	Supplier issue
MOV00324	2024-02-03	P019	Return	-14	Online Fulfillment	REF6910	Supplier issue
MOV00325	2023-09-25	P005	Return	-45	Store 1	REF3603	Supplier issue
MOV00326	2024-10-13	P089	Adjustment	-45	Warehouse B	REF7032	Customer return
MOV00327	2024-04-17	P056	Adjustment	9	Warehouse A	REF8418	Supplier issue
MOV00328	2024-08-07	P078	Adjustment	32	Warehouse A	REF1007	
MOV00329	2023-01-29	P051	Damaged	40	Warehouse A	REF5635	Regular operation
MOV00330	2024-05-14	P022	Sale	21	Store 2	REF2680	Customer return
MOV00331	2023-02-12	P035	Purchase	-34	Store 2	REF1817	
MOV00332	2023-06-06	P073	Sale	-15	Warehouse A	REF3351	Customer return
MOV00333	2023-04-01	P097	Damaged	3	Online Fulfillment	REF1464	Regular operation
MOV00334	2023-07-03	P075	Damaged	41	Warehouse A	REF2048	Regular operation
MOV00335	2023-11-08	P057	Return	64	Warehouse B	REF1898	Customer return
MOV00336	2024-01-15	P042	Sale	11	Store 2	REF9257	Quality check
MOV00337	2024-12-11	P080	Purchase	14	Online Fulfillment	REF9102	Customer return
MOV00338	2024-05-06	P090	Return	30	Store 2	REF9915	Customer return
MOV00339	2023-10-18	P018	Adjustment	9	Warehouse B	REF4452	Quality check
MOV00340	2024-10-11	P072	Transfer	28	Store 2	REF6613	Regular operation
MOV00341	2024-08-07	P006	Sale	24	Online Fulfillment	REF4274	Regular operation
MOV00342	2024-07-26	P018	Return	-28	Warehouse B	REF1674	Regular operation
MOV00343	2024-03-08	P007	Adjustment	15	Store 1	REF1672	Quality check
MOV00344	2024-01-10	P082	Damaged	94	Warehouse B	REF5762	Regular operation
MOV00345	2024-05-11	P088	Adjustment	-1	Warehouse B	REF5664	Quality check
MOV00346	2024-12-26	P081	Purchase	66	Warehouse A	REF9962	Quality check
MOV00347	2023-04-13	P081	Transfer	-10	Warehouse A	REF7273	Regular operation
MOV00348	2024-03-20	P086	Sale	95	Warehouse B	REF4600	Regular operation
MOV00349	2024-06-24	P049	Adjustment	83	Warehouse A	REF2391	Regular operation
MOV00350	2024-07-11	P008	Sale	10	Online Fulfillment	REF4948	Supplier issue
MOV00351	2024-08-14	P088	Adjustment	-49	Warehouse B	REF6830	Supplier issue
MOV00352	2024-09-14	P041	Sale	41	Store 2	REF6072	Customer return
